14th Street Bridge	38.874260	-77.044610	30
Ballston Connector	38.882950	-77.121235	24
Bluemont Connector	38.880476	-77.119311	23
CC Connector	38.857702	-77.047373	10
Clarendon EB bike lane	38.888780	-77.090421	20
Crystal NB bike lane 	38.857315	-77.049152	18
Crystal SB bike lane 	38.853969	-77.049544	17
Custis Bon Air Park 	38.879199	-77.138420	3
Custis Rosslyn 	38.897191	-77.083031	4
Fairfax EB bike lane 	38.882767	-77.104615	14
Fairfax WB Bike Lane 	38.883229	-77.103789	13
Four Mile Run (piezo) 	38.843262	-77.080860	5
Joyce St NB 	38.867264	-77.062829	27
Joyce St SB 	38.867271	-77.063054	26
Key Bridge East 	38.900468	-77.070656	8
Key Bridge West 	38.900539	-77.070900	7
Military NB bike lane 	38.905509	-77.109349	22
Military SB bike lane 	38.905732	-77.109698	21
MVT Airport South 	38.844471	-77.048923	9
Quincy NB bike lane 	38.885457	-77.108055	16
Quincy SB bike lane 	38.884877	-77.108075	15
Rosslyn Bikeometer 	38.899080	-77.070980	28
TR Island Bridge 	38.897960	-77.067721	11
W&OD Bon Air Park 	38.878949	-77.138546	2
W&OD Bon Air West 	38.879330	-77.139250	25
W&OD Columbia Pike 	38.857085	-77.110789	12
W&OD East Falls Church 	38.887806	-77.163889	1
Wilson WB bike lane 	38.889855	-77.090175	19
